City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,road town,18.4167,-64.6167,25.65,80,5,5.97,VG,1738099112
315,tazovsky,67.4667,78.7,-23.52,89,100,5.94,RU,1738099113
316,thanh hoa,19.8,105.7667,11.62,54,29,1.69,VN,1738099114
317,cururupu,-1.8283,-44.8683,25.84,80,26,1.63,BR,1738099115
318,salmas,38.1973,44.7653,-2.35,73,1,0.77,IR,1738099117
319,alo,6.5486,4.2686,27.84,77,40,3.15,NG,1738099118
320,nogliki,51.8333,143.1667,-5.48,93,100,9.38,RU,1738099120
321,boca do acre,-8.7522,-67.3978,28.04,68,92,1.55,BR,1738099121
322,kuanda,56.3161,116.0806,-29.52,97,99,0.31,RU,1738099122
323,mikumi,-7.4041,36.9831,21.5,90,100,1.11,TZ,1738099123
324,ceeldheer,3.8488,47.1806,23.96,77,94,7.26,SO,1738099124
325,fondi,41.3541,13.4313,12.67,85,0,2.13,IT,1738099125
326,champerico,14.3,-91.9167,29.25,60,0,4.36,GT,1738099126
327,coahuayana de hidalgo,18.7,-103.6583,30.42,57,83,3.09,MX,1738099127
328,palu,-0.8917,119.8707,24.12,97,100,0.85,ID,1738099128
329,nadym,65.5333,72.5167,-21.4,99,71,3.85,RU,1738099129
330,buka,40.8108,69.1986,2.24,71,100,2.08,UZ,1738099131
331,forster,-32.1667,152.5167,22.43,91,96,4.81,AU,1738099132
332,puerto baquerizo moreno,-0.9,-89.6,25.55,83,75,4.12,EC,1738099133
333,kilosa,-6.8333,36.9833,22.19,88,100,1.41,TZ,1738099136
334,qaqortoq,60.7167,-46.0333,-7.28,81,100,5.72,GL,1738099137
335,tabas,33.5959,56.9244,3.12,70,18,2.06,IR,1738099138
336,menongue,-14.6585,17.691,18.9,81,100,1.36,AO,1738099139
337,wynyard,-41.0,145.7167,14.55,62,100,3.13,AU,1738099140
338,skelleftea,64.7507,20.9528,-0.8,100,75,3.6,SE,1738099141
339,vallenar,-28.5708,-70.7581,25.33,39,0,3.66,CL,1738099142
340,ha tinh,18.3333,105.9,14.19,76,100,2.19,VN,1738099143
341,salym,60.0625,71.4789,-25.52,100,100,1.39,RU,1738099144
342,itaberai,-16.0203,-49.8103,25.73,82,94,1.62,BR,1738099145
343,ternate,0.8,127.4,26.25,80,100,1.66,ID,1738099146
344,tamanrasset,22.785,5.5228,14.95,20,0,2.06,DZ,1738099148
345,kapa'a,22.0752,-159.319,23.18,57,0,5.14,US,1738099149
346,farasan,16.7022,42.1183,25.63,76,0,2.03,SA,1738099150
347,baukau,51.5526,7.2042,8.69,80,100,5.98,DE,1738099151
348,beerwah,-26.85,152.9667,24.97,81,5,0.61,AU,1738099152
349,bamboo flat,11.7,92.7167,27.05,89,75,1.03,IN,1738099153
350,plastun,44.7561,136.2939,-10.18,89,84,2.21,RU,1738099154
351,utrik,11.2278,169.8474,26.37,79,97,8.05,MH,1738099155
352,charters towers,-20.1,146.2667,23.53,85,100,2.67,AU,1738099156
353,new norfolk,-42.7826,147.0587,12.62,64,8,1.17,AU,1738099157
354,al hayy,32.1735,46.0433,12.49,41,0,4.59,IQ,1738099158
355,saint-philippe,-21.3585,55.7679,26.72,82,100,0.87,RE,1738099159
356,alpena,45.0617,-83.4327,-5.5,93,100,4.63,US,1738099160
357,turpan,42.9333,89.1667,-8.17,62,36,1.0,CN,1738099161
358,manggar,-2.8833,108.2667,24.74,93,100,3.91,ID,1738099163
359,urucara,-2.5364,-57.76,28.07,72,97,1.32,BR,1738099164
360,ridder,50.355,83.5133,-9.82,96,100,2.01,KZ,1738099165
